,county,PO_NAME,STATE,brewery_count,popDrinking,median_income,purchase_power,land_area_sqmi,brewery_capacity,brewery_density,tot_market_cap,carrying_cap_ratio,share_market_cap,split_market_cap,brewery_per_capita
36,1071,Woodville,AL,1.0,55669.0,36572.40909090909,528.4733864233925,1347.4340000000002,0,0.0007421513781008939,29419584.94880384,0.5,14709792,14709792,1.7963318902800482e-05
37,1073,Warrior,AL,10.0,590287.0,47249.625,515.2985597074185,1841.992,38,0.005428905228687204,304174040.9140129,0.2894736842105263,88050380,27652185,1.6940911793754564e-05
38,1075,Vernon,AL,0.0,30677.0,38555.11111111111,617.7608357206602,1372.477,0,0.0,18951049.157402694,0.5,9475524,18951049,0.0
39,1077,Waterloo,AL,1.0,75614.0,47126.0,624.6580132828318,745.502,4,0.0013413780244721008,47232891.01636805,0.5,23616445,23616445,1.3225064141561087e-05
40,1079,Trinity,AL,0.0,60478.0,44197.9,631.52916104663,984.355,3,0.0,38193620.60177808,0.3333333333333333,12731206,38193620,0.0
41,1081,Waverly,AL,2.0,140954.0,42391.0,496.12194672419605,1044.473,8,0.0019148412644462807,69930372.87856233,0.375,26223889,23310124,1.4189026207131404e-05
42,1083,Toney,AL,0.0,109331.0,54916.933333333334,642.7585034513231,803.743,5,0.0,70273429.94083661,0.2,14054685,70273429,0.0
43,1085,Tyler,AL,0.0,27796.0,35380.5,484.3065600108197,1418.3509999999999,1,0.0,13461785.142060744,1.0,13461785,13461785,0.0
44,1087,Waverly,AL,0.0,88530.0,45361.357142857145,559.4219248688293,1701.5090000000002,4,0.0,49525623.00863745,0.25,12381405,49525623,0.0
45,1089,Woodville,AL,13.0,276642.0,62243.52,685.8611024186262,1005.312,18,0.01293130888719124,189737987.09529358,0.7777777777777779,147573989,13552713,4.69921414680345e-05
46,1091,Uniontown,AL,0.0,27551.0,30839.352941176472,419.88295101480844,1984.716,0,0.0,11568195.183408987,0.5,5784097,11568195,0.0
